ticker,quarter,cik
AMT,2022Q3,1053507
AMT,2022Q4,1053507
AMT,2023Q1,1053507
AMT,2023Q2,1053507
AMT,2023Q3,1053507
AMT,2023Q4,1053507
AMT,2024Q1,1053507
AMT,2024Q2,1053507
AMT,2024Q3,1053507
AMT,2024Q4,1053507
AMTM,2024Q3,2011286
AMTM,2024Q4,2011286
AMZN,2020Q1,1018724
AMZN,2020Q2,1018724
AMZN,2020Q3,1018724
AMZN,2020Q4,1018724
AMZN,2021Q1,1018724
AMZN,2021Q2,1018724
AMZN,2021Q3,1018724
AMZN,2021Q4,1018724
AMZN,2022Q1,1018724
AMZN,2022Q2,1018724
AMZN,2022Q3,1018724
AMZN,2022Q4,1018724
AMZN,2023Q1,1018724
AMZN,2023Q2,1018724
AMZN,2023Q3,1018724
AMZN,2023Q4,1018724
AMZN,2024Q1,1018724
AMZN,2024Q2,1018724
AMZN,2024Q3,1018724
AMZN,2024Q4,1018724
ANET,2020Q1,1596532
ANET,2020Q2,1596532
ANET,2020Q3,1596532
ANET,2020Q4,1596532
ANET,2021Q1,1596532
ANET,2021Q2,1596532
ANET,2021Q3,1596532
ANET,2021Q4,1596532
ANET,2022Q1,1596532
ANET,2022Q2,1596532
ANET,2022Q3,1596532
ANET,2022Q4,1596532
ANET,2023Q1,1596532
ANET,2023Q2,1596532
ANET,2023Q3,1596532
ANET,2023Q4,1596532
ANET,2024Q1,1596532
ANET,2024Q2,1596532
ANET,2024Q3,1596532
ANET,2024Q4,1596532
ANSS,2020Q1,1013462
ANSS,2020Q2,1013462
ANSS,2020Q3,1013462
ANSS,2020Q4,1013462
ANSS,2021Q1,1013462
ANSS,2021Q2,1013462
ANSS,2021Q3,1013462
ANSS,2021Q4,1013462
ANSS,2022Q1,1013462
ANSS,2022Q2,1013462
ANSS,2022Q3,1013462
ANSS,2022Q4,1013462
ANSS,2023Q1,1013462
ANSS,2023Q2,1013462
ANSS,2023Q3,1013462
ANSS,2023Q4,1013462
ANSS,2024Q1,1013462
ANSS,2024Q2,1013462
ANSS,2024Q3,1013462
ANSS,2024Q4,1013462
ANTM,2020Q1,1156039
ANTM,2020Q2,1156039
ANTM,2020Q3,1156039
ANTM,2020Q4,1156039
ANTM,2021Q1,1156039
ANTM,2021Q2,1156039
ANTM,2021Q3,1156039
ANTM,2021Q4,1156039
ANTM,2022Q1,1156039
ANTM,2022Q2,1156039
AON,2020Q1,315293
AON,2020Q2,315293
AON,2020Q3,315293
AON,2020Q4,315293
AON,2021Q1,315293
AON,2021Q2,315293
AON,2021Q3,315293
AON,2021Q4,315293
AON,2022Q1,315293
AON,2022Q2,315293
AON,2022Q3,315293
AON,2022Q4,315293
AON,2023Q1,315293
AON,2023Q2,315293
AON,2023Q3,315293
AON,2023Q4,315293
AON,2024Q1,315293
AON,2024Q2,315293
AON,2024Q3,315293
AON,2024Q4,315293
AOS,2020Q1,91142
AOS,2020Q2,91142
AOS,2020Q3,91142
AOS,2020Q4,91142
AOS,2021Q1,91142
AOS,2021Q2,91142
AOS,2021Q3,91142
AOS,2021Q4,91142
AOS,2022Q1,91142
AOS,2022Q2,91142
AOS,2022Q3,91142
AOS,2022Q4,91142
AOS,2023Q1,91142
AOS,2023Q2,91142
AOS,2023Q3,91142
AOS,2023Q4,91142
AOS,2024Q1,91142
AOS,2024Q2,91142
AOS,2024Q3,91142
AOS,2024Q4,91142
APA,2020Q1,1841666
APA,2020Q2,1841666
APA,2020Q3,1841666
APA,2020Q4,1841666
